"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Bahrain,10189.612,11061.394,11221.699,11117.659,11163.436,10182.368,7695.805,8049.364,9602.789,9668.043,10179.632,10252.365,10536.823,11290.27,11777.073,12143.091,12298.65,12422.116,11565.971,12210.221,14214.58,13894.343,13501.551,14486.061,15963.978,17966.224,19267.567,20908.338,23236.055,19465.292,20827.719,24080.43,25434.451,25965.311,25398.315,22659.374,22641.276,23631.585,25149.47,26051.303,23516.919,26116.253,28781.493,28464.173,29080.64,29581.367,30050.678,30571.062,31138.399
Bangladesh,311.093,322.318,294.02,277.489,303.3,317.511,318.062,339.17,355.592,378.07,398.05,402.354,400.912,395.867,411.91,450.133,471.268,479.354,488.077,491.461,497.807,497.045,499.906,533.545,569.732,594.253,610.469,668.54,760.65,841.252,935.755,1032.313,1057.884,1176.16,1340.289,1495.538,1679.021,1839.755,1991.739,2154.227,2270.348,2497.741,2730.846,2621.288,2646.005,2945.794,3286.281,3680.416,4111.286
Barbados,4036.509,4427.056,4611.693,4882.788,5308.313,5539.558,6062.784,6653.718,7052.007,7776.714,7772.174,7777.866,7464.866,7886.782,8194.382,8414.115,8938.565,9412.367,10573.109,11039.097,11337.027,11284.369,11442.562,11788.654,12612.206,13939.669,15334.007,16925.584,17254.317,16036.377,16203.334,16599.014,16371.966,16556.11,16572.331,16623.566,16957.431,17435.312,17795.112,18540.379,16227.217,16782.075,19647.869,21442.447,22888.902,24175.489,25404.737,26599.905,27765.927
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1252.792,1114.104,1533.721,1034.931,1429.059,1396.112,1514.669,1210.965,1079.61,1283.273,1524.49,1873.667,2450.9,3221.463,3968.753,4887.275,6581.175,5345.325,6025.686,6478.889,6948.345,7995.733,8337.145,5958.838,5037.854,5778.564,6351.76,6831.516,6515.654,7294.902,7868.911,7477.293,7238.1,7307.876,7515.311,7830.442,8182.806
Belgium,12529.348,10366.108,9128.584,8626.16,8244.846,8568.653,11873.806,14740.456,16008.638,16098.158,20119.935,20563.729,22823.029,21723.624,23624.467,28458.469,27535.287,24878.749,25399.222,25309.057,23136.511,23067.163,25044.331,30707.665,35497.552,36945.499,38841.785,44496.791,48493.137,44892.228,44448.17,47564.381,44824.163,46848.612,47897.037,41147.261,42076.398,44274.073,47685.347,46783.005,45545.233,51472.103,49843.163,53656.833,56084.96,57954.658,59593.618,61007.28,62537.297
Belize,1531.072,1591.796,1561.334,1601.159,1739.315,1678.501,1777.102,2025.184,2346.018,2636.263,2907.089,3087.305,3484.902,3662.856,3657.187,3781.398,3835.414,3773.429,3833.322,4011.618,4468.235,4542.266,4694.034,4818.84,5028.238,5153.514,5431.611,5676.576,5635.733,5334.144,5392.038,5479.151,5584.834,5803.384,5957.136,6001.658,5975.323,5894.291,5847.778,5916.225,4935.56,5792.136,6757.498,7141.538,7330.076,7456.985,7586.091,7717.433,7851.048
Benin,614.04,401.43,385.574,330.58,341.857,359.165,448.478,519.04,527.911,476.325,562.898,558.099,601.645,560.707,375.963,495.048,524.067,489.136,510.571,542.24,503.22,508.351,563.98,698.234,783.763,806.35,837.176,944.755,1098.826,1060.566,1010.314,1099.221,1113.274,1214.313,1251.827,1041.758,1049.531,1094.888,1194.023,1171.015,1239.74,1360.386,1303.379,1449.112,1540.137,1624.387,1711.327,1792.845,1877.354
Bhutan,301.912,317.384,325.479,343.169,346.705,349.039,382.259,447.284,496.565,483.64,514.626,446.274,442.838,470.84,484.426,569.737,594.213,654.919,701.797,716.174,758.308,767.831,813.421,950.504,1059.205,1215.288,1278.66,1548.106,1936.306,1797.535,2097.54,2511.435,2592.37,2609.758,2546.857,2767.781,2857.443,3137.633,3413.308,3322.527,3247.926,3245.411,3491.984,3500.486,3691.885,3954.424,4261.611,4479.311,4729.404
Bolivia,695.535,615.66,668.55,619.896,631.152,668.921,640.94,683.625,712.146,715.525,723.431,776.711,803.547,793.646,805.183,886.368,956.965,1006.102,1057.72,1010.58,994.617,949.383,904.851,908.203,968.545,1037.176,1226.845,1383.894,1729.369,1769.441,1972.684,2368.523,2635.933,2938.421,3114.966,3069.319,3110.874,3388.523,3588.089,3591.403,3172.556,3449.384,3705.266,3857.843,4045.386,4232.194,4423.803,4628.612,4842.902
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,952.331,1225.456,1415.096,1540.514,1480.624,1540.266,1785.289,2254.449,2699.054,2903.602,3306.785,4073.011,4984.537,4711.119,4633.861,5089.853,4773.164,5141.572,5252.939,4662.977,4875.228,5230.13,5859.283,5867.26,5800.481,6800.487,7059.993,7778.298,8317.402,8873.81,9438.018,9931.027,10414.108
